"categoryName","sizeClasses"
"Aluminum Dump Bodies","Heavy Duty|Light Duty|Medium Duty"
"Animal Service","Light Duty"
"Canopy Service","Medium Duty"
"Catering","Medium Duty"
"Chipper","Medium Duty"
"Combo","Medium Duty"
"Concrete Mixers","Heavy Duty|Medium Duty"
"Concrete Pumper","Heavy Duty"
"Contractor","Medium Duty"
"Dry Van","Medium Duty"
"Fiberglass Bodies","Heavy Duty|Light Duty|Medium Duty"
"Fire Truck","Heavy Duty"
"Flatbed Bodies","Medium Duty"
"Frontload Waste Packers","Heavy Duty"
"Gooseneck","Medium Duty"
"Hauler","Medium Duty"
"Heavy Duty Rack Bodies","Medium Duty"
"Hooklift","Heavy Duty|Medium Duty"
"Landscape","Medium Duty"
"Lifts And Buckets","Medium Duty"
"Liquid Tanks","Heavy Duty|Medium Duty"
"Miscellaneous Bodies","Medium Duty"
"Petroleum Truck Tanks","Heavy Duty|Medium Duty"
"Rearload Waste Packers","Medium Duty"
"Refrigerated Van Bodies","Medium Duty"
"Roll Off Hoists","Medium Duty"
"Service","Medium Duty"
"Sideload Waste Packers","Heavy Duty"
"Snow Plows","Medium Duty"
"Stake","Medium Duty"
"Steel Dump Bodies","Medium Duty"
"Steel Utility Bodies","Light Duty|Medium Duty"
"Telescopic Cranes","Medium Duty"
"Vacuum Tank","Medium Duty"
"Wrecker Truck Bodies","Heavy Duty|Light Duty|Medium Duty"
